isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true true EAST NORTH 178 0
true true NORTH EAST 178 0
true true EAST SOUTH 177 10
true true SOUTH SOUTH 177 10
true true SOUTH WEST 177 10
true true WEST NORTH 177 10
true true NORTH SOUTH 177 10
true true SOUTH SOUTH 177 10
true true SOUTH SOUTH 177 10
true true SOUTH SOUTH 177 10
true true SOUTH NORTH 177 10
true true NORTH NORTH 177 10
true true NORTH EAST 177 10
true true EAST WEST 177 10
true true WEST SOUTH 177 10
true true SOUTH SOUTH 177 10
true true SOUTH EAST 177 10
true true EAST NORTH 177 10
true true NORTH EAST 176 20
true true EAST NORTH 176 20
true true NORTH SOUTH 175 30
true true SOUTH NORTH 175 30
true true NORTH WEST 175 30
true true WEST SOUTH 175 30
true true SOUTH WEST 175 30
true true WEST EAST 175 30
true true EAST WEST 175 30
true true WEST NORTH 175 30
true true NORTH SOUTH 175 30
true true SOUTH SOUTH 175 30
true true SOUTH SOUTH 175 30
true true SOUTH WEST 175 30
true true WEST EAST 175 30
true true EAST WEST 175 30
true true WEST EAST 175 30
true true EAST NORTH 175 30
true true NORTH SOUTH 175 30
true true SOUTH WEST 175 30
true true WEST NORTH 175 30
true true NORTH EAST 175 30
true true EAST EAST 175 30
true true EAST SOUTH 174 40
true true SOUTH WEST 174 40
true true WEST SOUTH 174 40
true true SOUTH EAST 174 40
true true EAST WEST 174 40
true true WEST SOUTH 174 40
true true SOUTH SOUTH 174 40
true true SOUTH WEST 174 40
true true WEST SOUTH 174 40
true true SOUTH NORTH 174 40
true true NORTH EAST 174 40
true true EAST NORTH 174 40
true true NORTH SOUTH 174 40
true true SOUTH WEST 174 40
true true WEST SOUTH 174 40
true true SOUTH NORTH 174 40
true true NORTH SOUTH 174 40
true true SOUTH EAST 174 40
true true EAST EAST 174 40
true true EAST WEST 174 40
true true WEST SOUTH 174 40
true true SOUTH WEST 174 40
true true WEST NORTH 174 40
true true NORTH WEST 174 40
true true WEST SOUTH 173 50
true true SOUTH EAST 173 50
true true EAST EAST 173 50
true true EAST EAST 173 50
true true EAST SOUTH 173 50
true true SOUTH WEST 173 50
true true WEST EAST 173 50
true true EAST SOUTH 173 50
true true SOUTH EAST 173 50
true true EAST WEST 172 60
true true WEST SOUTH 172 60
true true SOUTH SOUTH 172 60
true true SOUTH SOUTH 172 60
true true SOUTH SOUTH 172 60
true true SOUTH NORTH 172 60
true true NORTH WEST 172 60
true true WEST WEST 172 60
true true WEST NORTH 172 60
true true NORTH WEST 172 60
true true WEST SOUTH 172 60
true true SOUTH NORTH 172 60
true true NORTH EAST 171 70
true true EAST SOUTH 171 70
true true SOUTH SOUTH 171 70
true true SOUTH NORTH 171 70
true true NORTH EAST 171 70
true true EAST NORTH 171 70
true true NORTH WEST 170 80
true true WEST WEST 169 90
